* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 1, 2026 1:34:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
12060.000000 74.298 -179.4540
12200.000000 74.377 -176.9175
12410.000000 74.690 -173.9292
12500.000000 74.916 -172.1985
12650.000000 75.296 -170.4938
12800.000000 75.733 -169.2291
13150.000000 77.350 -167.4456
13200.000000 77.723 -167.6643
13400.000000 79.014 -168.3063
13600.000000 80.751 -170.8471
13800.000000 82.962 -176.8752
14000.000000 85.755 170.7704
14300.000000 89.663 126.7117
14500.000000 88.418 86.5132
14750.000000 84.655 59.0609
15000.000000 81.955 45.7623
15250.000000 80.195 35.7418
15500.000000 79.365 25.6079
15750.000000 79.150 12.6350
16000.000000 79.475 -3.5018
16250.000000 80.232 -22.8945
16500.000000 81.627 -48.5148
16750.000000 83.546 -86.0468
17000.000000 83.922 -142.2067
17250.000000 80.592 164.0477
17500.000000 76.568 126.0588
17750.000000 73.198 94.7017
18000.000000 70.611 64.4348
18250.000000 68.511 33.5706
18500.000000 66.978 -1.4858
18750.000000 65.470 -38.3709
19000.000000 64.363 -83.4379
19250.000000 63.165 -134.9822
19500.000000 61.898 164.7512
19750.000000 60.151 91.2175
