* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 1, 2026 1:33:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9120.000000 82.213 129.2882
9250.000000 81.086 131.7266
9380.000000 80.075 134.5032
9500.000000 79.197 137.0763
9620.000000 78.445 140.0652
9750.000000 77.602 143.1996
9880.000000 76.957 146.5460
10000.000000 76.317 149.7491
10150.000000 75.700 153.5619
10300.000000 75.061 157.3019
10440.000000 74.697 161.0336
10600.000000 74.082 165.2395
10750.000000 73.668 169.5563
10900.000000 73.338 172.9253
11060.000000 73.094 176.7552
11200.000000 72.862 -179.8744
11380.000000 72.751 -175.6087
11500.000000 72.658 -173.0703
11720.000000 72.664 -168.7232
11800.000000 72.747 -166.5092
12060.000000 72.912 -162.0142
12200.000000 73.245 -159.5646
12410.000000 73.694 -156.7984
12500.000000 73.934 -155.5310
12650.000000 74.495 -153.9782
12800.000000 75.195 -152.2862
13150.000000 77.378 -151.6455
13200.000000 77.809 -151.8843
13400.000000 79.795 -155.2072
13600.000000 82.335 -163.5032
13800.000000 85.210 176.6654
14000.000000 86.278 141.3679
14300.000000 82.799 103.0941
14500.000000 80.509 93.1343
14750.000000 79.069 85.9367
15000.000000 78.606 75.3071
15250.000000 78.425 61.1981
15500.000000 78.157 45.3426
15750.000000 78.113 29.1250
16000.000000 78.504 11.0700
16250.000000 79.690 -10.8795
16500.000000 81.701 -44.0676
16750.000000 82.436 -99.6447
17000.000000 78.868 -153.8577
17250.000000 74.460 170.7887
17500.000000 70.898 143.2972
17750.000000 68.122 116.7061
18000.000000 65.782 90.0755
18250.000000 64.005 61.1866
18500.000000 63.783 39.3995
18750.000000 61.380 -9.3174
19000.000000 60.565 -53.3370
19250.000000 59.113 -103.7424
19500.000000 58.106 -164.4797
19750.000000 56.493 124.6299
